2021-10-10_15-16-56.236Started
2021-10-10_15-16-56.236Local directory is: E:\Documents\08_Github Local Repo\python_trackir
2021-10-10_15-16-56.236Version: 1.0
2021-10-10_15-16-56.303Timestamp[ms], Frame Number, Roll[deg], Pitch[deg], Yaw[deg], X[m], Y[m], Z[m]
2021-10-10_15-16-57.500,1197,31826,-18.72016,20.38683,-6.58622,72.68938,8.07050,5.40284
2021-10-10_15-16-57.508,1205,31827,-18.71999,20.41605,-6.60663,72.68016,8.05719,5.41563
2021-10-10_15-16-57.516,1213,31828,-18.71962,20.45048,-6.63133,72.67172,8.04485,5.42801
2021-10-10_15-16-57.524,1221,31829,-18.71793,20.47282,-6.66597,72.66328,8.03329,5.44368
2021-10-10_15-16-57.532,1229,31830,-18.71592,20.49285,-6.70158,72.65563,8.02176,5.45978
2021-10-10_15-16-57.540,1237,31831,-18.71383,20.51070,-6.73568,72.64895,8.00924,5.47827
2021-10-10_15-16-57.548,1245,31832,-18.71209,20.53391,-6.77006,72.64078,7.99881,5.49071
2021-10-10_15-16-57.556,1253,31833,-18.70996,20.55037,-6.79927,72.63245,7.98663,5.50509
2021-10-10_15-16-57.564,1261,31834,-18.70774,20.56724,-6.83113,72.62368,7.97489,5.51922
2021-10-10_15-16-57.572,1269,31835,-18.70548,20.58327,-6.85359,72.61516,7.96265,5.53195
2021-10-10_15-16-57.580,1277,31836,-18.70292,20.59654,-6.88141,72.60645,7.95066,5.54601
2021-10-10_15-16-57.588,1285,31837,-18.70038,20.61321,-6.90692,72.59843,7.93860,5.55941
2021-10-10_15-16-57.596,1293,31838,-18.69804,20.63358,-6.93033,72.59072,7.92641,5.57271
2021-10-10_15-16-57.608,1305,31839,-18.69568,20.65144,-6.96855,72.58096,7.91594,5.58564
2021-10-10_15-16-57.616,1313,31840,-18.69228,20.66730,-7.00789,72.57290,7.90545,5.59781
2021-10-10_15-16-57.624,1321,31841,-18.68906,20.68852,-7.05648,72.56421,7.89655,5.60733
2021-10-10_15-16-57.632,1329,31842,-18.68526,20.70588,-7.10548,72.55635,7.88669,5.61863
2021-10-10_15-16-57.640,1337,31843,-18.68213,20.73165,-7.15128,72.54675,7.87806,5.62447
2021-10-10_15-16-57.648,1345,31844,-18.67861,20.75760,-7.19896,72.53967,7.86754,5.63763
2021-10-10_15-16-57.656,1353,31845,-18.67426,20.78075,-7.25833,72.53109,7.85899,5.64617
2021-10-10_15-16-57.664,1361,31846,-18.66942,20.80516,-7.32235,72.52163,7.85181,5.65000
2021-10-10_15-16-57.672,1369,31847,-18.66444,20.82684,-7.39319,72.51164,7.84491,5.65469
2021-10-10_15-16-57.680,1377,31848,-18.66011,20.85201,-7.46371,72.50112,7.83728,5.66062
