2021-10-10_15-16-56.236Started
2021-10-10_15-16-56.236Local directory is: E:\Documents\08_Github Local Repo\python_trackir
2021-10-10_15-16-56.236Version: 1.0
2021-10-10_15-16-56.303Timestamp[ms], Frame Number, Roll[deg], Pitch[deg], Yaw[deg], X[m], Y[m], Z[m]
2021-10-10_15-17-00.500,4197,32187,-20.08823,23.79327,2.14444,67.05993,-12.69324,25.03399
2021-10-10_15-17-00.508,4205,32188,-19.99152,23.19312,1.55053,66.66368,-12.19219,24.37914
2021-10-10_15-17-00.516,4213,32189,-19.89561,22.59283,0.91324,66.22144,-11.63816,23.55153
2021-10-10_15-17-00.524,4221,32190,-19.80335,21.99500,0.25316,65.68975,-10.98635,22.41136
2021-10-10_15-17-00.532,4229,32191,-19.70262,21.34888,-0.40055,65.14209,-10.33371,21.21097
2021-10-10_15-17-00.540,4237,32192,-19.60438,20.76137,-1.03504,64.58910,-9.69226,19.97003
2021-10-10_15-17-00.548,4245,32193,-19.50791,20.18456,-1.70909,63.99954,-9.03010,18.59413
2021-10-10_15-17-00.560,4257,32194,-19.42106,19.58664,-2.34601,63.42845,-8.41232,17.29246
2021-10-10_15-17-00.568,4265,32195,-19.34041,19.02858,-3.01265,62.92570,-7.88306,16.20150
2021-10-10_15-17-00.576,4273,32196,-19.27088,18.43600,-3.52251,62.45691,-7.41292,15.13795
2021-10-10_15-17-00.584,4281,32197,-19.21467,17.90499,-3.99389,62.05603,-7.02883,14.21516
2021-10-10_15-17-00.592,4289,32198,-19.16174,17.32614,-4.56807,61.66292,-6.66260,13.34599
2021-10-10_15-17-00.600,4297,32199,-19.11006,16.61679,-5.15421,61.27742,-6.32121,12.50588
2021-10-10_15-17-00.608,4305,32200,-19.06010,16.01340,-5.64707,60.92775,-6.03436,11.68903
2021-10-10_15-17-00.616,4313,32201,-19.01754,15.38189,-6.10620,60.58792,-5.77826,10.86832
2021-10-10_15-17-00.624,4321,32202,-18.98170,14.83083,-6.52027,60.24852,-5.54455,10.00257
2021-10-10_15-17-00.632,4329,32203,-18.95014,14.38076,-6.91497,59.92307,-5.34490,9.11249
2021-10-10_15-17-00.640,4337,32204,-18.91810,13.93045,-7.22564,59.62869,-5.19010,8.27792
2021-10-10_15-17-00.648,4345,32205,-18.89234,13.47833,-7.50189,59.34514,-5.05887,7.47402
2021-10-10_15-17-00.660,4357,32206,-18.86748,12.93139,-7.79155,59.05157,-4.93820,6.65397
2021-10-10_15-17-00.668,4365,32207,-18.85066,12.52701,-8.01802,58.79037,-4.86150,5.91952
2021-10-10_15-17-00.676,4373,32208,-18.83876,12.22859,-8.22631,58.54749,-4.81678,5.25183
2021-10-10_15-17-00.684,4381,32209,-18.82647,11.91194,-8.41494,58.32868,-4.80073,4.71963
2021-10-10_15-17-00.692,4389,32210,-18.81590,11.63357,-8.59844,58.07076,-4.79420,4.05121
2021-10-10_15-17-00.700,4397,32211,-18.81281,11.37518,-8.72034,57.80971,-4.82479,3.44894
2021-10-10_15-17-00.708,4405,32212,-18.81513,11.11698,-8.80873,57.53337,-4.89872,2.92615
2021-10-10_15-17-00.716,4413,32213,-18.82689,10.94086,-8.80341,57.21163,-5.03794,2.40133
2021-10-10_15-17-00.724,4421,32214,-18.85069,10.74375,-8.76775,56.79665,-5.27177,1.94336
2021-10-10_15-17-00.732,4429,32215,-18.89582,10.58376,-8.70386,56.12965,-5.73186,1.55769
2021-10-10_15-17-00.740,4437,32216,-19.02611,10.38528,-8.62022,55.21646,-6.41572,1.25148
2021-10-10_15-17-00.748,4445,32217,-19.31988,10.22375,-8.47912,54.16671,-7.27146,0.99101
2021-10-10_15-17-00.760,4457,32218,-19.74361,10.01365,-8.26097,53.02922,-8.25076,0.60779
2021-10-10_15-17-00.768,4465,32219,-20.30678,9.81210,-7.83164,51.85780,-9.45542,0.29696
2021-10-10_15-17-00.776,4473,32220,-20.95545,9.67483,-7.20727,50.91082,-11.02529,-0.00877
2021-10-10_15-17-00.784,4481,32221,-21.63760,9.48771,-6.53264,50.10846,-12.86202,-0.36080
2021-10-10_15-17-00.792,4489,32222,-22.34212,9.24998,-5.83312,49.40792,-14.86831,-0.76911
2021-10-10_15-17-00.800,4497,32223,-23.07646,8.90199,-5.16096,48.73917,-16.98520,-1.23983
2021-10-10_15-17-00.808,4505,32224,-23.82274,8.60238,-4.47380,48.28527,-19.19905,-1.74488
2021-10-10_15-17-00.816,4513,32225,-24.57002,8.25783,-3.80307,47.86938,-21.52934,-2.25651
2021-10-10_15-17-00.824,4521,32226,-25.34883,7.81074,-3.20955,47.44921,-23.93976,-2.77478
2021-10-10_15-17-00.832,4529,32227,-26.14535,7.42123,-2.61181,47.24796,-26.45455,-3.27608
2021-10-10_15-17-00.844,4541,32228,-26.97081,7.08431,-2.00651,47.13333,-29.06706,-3.78090
2021-10-10_15-17-00.852,4549,32229,-27.82904,6.81076,-1.51420,47.15458,-31.74826,-4.22699
2021-10-10_15-17-00.860,4557,32230,-28.69591,6.56029,-0.96870,47.34832,-34.53269,-4.66569
2021-10-10_15-17-00.868,4565,32231,-29.55207,6.27706,-0.49761,47.70005,-37.34893,-5.05423
2021-10-10_15-17-00.876,4573,32232,-30.42719,6.00897,-0.05544,48.21550,-40.22440,-5.40053
2021-10-10_15-17-00.884,4581,32233,-31.28991,5.76442,0.34650,48.81651,-43.03537,-5.78155
2021-10-10_15-17-00.892,4589,32234,-32.14655,5.56060,0.66881,49.59259,-45.85685,-6.07103
2021-10-10_15-17-00.900,4597,32235,-32.96406,5.30191,0.90914,50.43282,-48.68050,-6.33698
2021-10-10_15-17-00.908,4605,32236,-33.75676,5.05180,1.14392,51.45115,-51.44074,-6.54706
2021-10-10_15-17-00.916,4613,32237,-34.58470,4.79073,1.39918,52.59457,-54.39299,-6.59057
2021-10-10_15-17-00.928,4625,32238,-35.44120,4.52977,1.77839,54.07816,-57.59887,-6.35199
2021-10-10_15-17-01.252,4949,32239,-35.22309,5.06891,0.70645,54.71517,-58.70486,-5.40344
2021-10-10_15-17-01.260,4957,32240,-34.80269,5.57112,-0.41681,54.69619,-58.51160,-5.02288
2021-10-10_15-17-01.268,4965,32241,-34.24528,6.04545,-1.35837,54.45118,-57.86726,-4.76315
2021-10-10_15-17-01.276,4973,32242,-33.55180,6.35585,-2.15173,54.09139,-56.90093,-4.58660
2021-10-10_15-17-01.284,4981,32243,-32.79231,6.52612,-2.70133,53.57726,-55.30335,-4.44692
2021-10-10_15-17-01.292,4989,32244,-31.99026,6.60106,-3.25059,52.93686,-53.13914,-4.42507
2021-10-10_15-17-01.300,4997,32245,-31.13114,6.58161,-3.60172,52.32967,-50.60196,-4.40698
2021-10-10_15-17-01.308,5005,32246,-30.26958,6.58926,-3.89276,51.81650,-47.79958,-4.40004
2021-10-10_15-17-01.316,5013,32247,-29.39433,6.61057,-4.14525,51.41026,-44.78682,-4.45425
2021-10-10_15-17-01.324,5021,32248,-28.54949,6.63010,-4.28586,51.13321,-41.78231,-4.45670
2021-10-10_15-17-01.332,5029,32249,-27.66079,6.57879,-4.55446,50.89673,-38.59302,-4.54480
2021-10-10_15-17-01.340,5037,32250,-26.78412,6.51273,-4.87842,50.79161,-35.41701,-4.64999
2021-10-10_15-17-01.348,5045,32251,-25.90929,6.49604,-5.26420,50.97284,-32.23460,-4.76334
2021-10-10_15-17-01.356,5053,32252,-25.05638,6.49154,-5.65634,51.34468,-29.15886,-4.81373
2021-10-10_15-17-01.364,5061,32253,-24.20891,6.44067,-6.17767,51.73492,-25.99024,-4.95672
2021-10-10_15-17-01.372,5069,32254,-23.37189,6.43880,-6.55500,52.44868,-22.98371,-5.07153
2021-10-10_15-17-01.380,5077,32255,-22.55383,6.43542,-6.83759,53.26461,-20.00806,-5.24286
2021-10-10_15-17-01.388,5085,32256,-21.75129,6.43109,-7.13286,54.23771,-17.09140,-5.41356
2021-10-10_15-17-01.400,5097,32257,-20.95899,6.42607,-7.40671,55.36411,-14.27590,-5.61192
2021-10-10_15-17-01.408,5105,32258,-20.19480,6.40649,-7.64281,56.57188,-11.57990,-5.80409
2021-10-10_15-17-01.416,5113,32259,-19.44739,6.38552,-7.91384,57.91468,-8.96574,-6.01996
2021-10-10_15-17-01.424,5121,32260,-18.72880,6.39397,-8.17080,59.40709,-6.53076,-6.23083
2021-10-10_15-17-01.432,5129,32261,-18.02324,6.39669,-8.42755,60.99159,-4.19738,-6.46519
2021-10-10_15-17-01.440,5137,32262,-17.32657,6.40192,-8.63883,62.66821,-2.01971,-6.71906
2021-10-10_15-17-01.448,5145,32263,-16.63663,6.38787,-8.83380,64.40489,0.01779,-6.97293
2021-10-10_15-17-01.456,5153,32264,-15.94982,6.39965,-9.02051,66.33400,1.82190,-7.23536
2021-10-10_15-17-01.464,5161,32265,-15.30947,6.42537,-9.19611,68.30967,3.45885,-7.51947
2021-10-10_15-17-01.472,5169,32266,-14.68514,6.43119,-9.36730,69.87420,4.97629,-7.80585
2021-10-10_15-17-01.480,5177,32267,-14.08746,6.45103,-9.51796,69.25464,6.36344,-8.08493
2021-10-10_15-17-01.488,5185,32268,-13.52096,6.47062,-9.66332,68.73450,7.66373,-8.38803
2021-10-10_15-17-01.496,5193,32269,-12.95292,6.46882,-9.77423,68.13701,8.86292,-8.65602
2021-10-10_15-17-01.504,5201,32270,-12.42567,6.49499,-9.90074,67.75227,9.99060,-8.98244
2021-10-10_15-17-01.512,5209,32271,-11.90360,6.52719,-9.99927,67.35336,11.01584,-9.30320
2021-10-10_15-17-01.524,5221,32272,-11.39913,6.53113,-10.04679,66.91591,11.95723,-9.57833
2021-10-10_15-17-01.532,5229,32273,-10.92210,6.53333,-10.10031,66.61394,12.85316,-9.84540
2021-10-10_15-17-01.540,5237,32274,-10.43984,6.53425,-10.14376,66.26476,13.66979,-10.13173
2021-10-10_15-17-01.548,5245,32275,-9.97850,6.52204,-10.18526,65.97000,14.44112,-10.40306
2021-10-10_15-17-01.556,5253,32276,-9.51920,6.50808,-10.20797,65.62785,15.14197,-10.66559
2021-10-10_15-17-01.564,5261,32277,-9.06032,6.47195,-10.20650,65.19458,15.77676,-10.87867
2021-10-10_15-17-01.572,5269,32278,-8.62849,6.42747,-10.21103,64.84471,16.36545,-11.11084
2021-10-10_15-17-01.580,5277,32279,-8.19282,6.38099,-10.21393,64.45531,16.89209,-11.33442
2021-10-10_15-17-01.588,5285,32280,-7.76888,6.31932,-10.22347,64.08121,17.37926,-11.58707
2021-10-10_15-17-01.596,5293,32281,-7.36946,6.25637,-10.24630,63.78582,17.81752,-11.88652
2021-10-10_15-17-01.604,5301,32282,-6.97696,6.18961,-10.26578,63.45567,18.19840,-12.17301
2021-10-10_15-17-01.612,5309,32283,-6.61753,6.10235,-10.29233,63.18569,18.53616,-12.47171
2021-10-10_15-17-01.620,5317,32284,-6.26513,6.03096,-10.29316,62.81255,19.61798,-12.73807
2021-10-10_15-17-01.632,5329,32285,-5.95401,5.94768,-10.29847,62.56621,21.15991,-12.98520
2021-10-10_15-17-01.640,5337,32286,-5.67618,5.85972,-10.30720,62.40563,22.53004,-13.24216
2021-10-10_15-17-01.648,5345,32287,-5.39362,5.79985,-10.30146,62.13105,23.89525,-13.48064
2021-10-10_15-17-01.656,5353,32288,-5.13104,5.76223,-10.28975,61.96020,25.12703,-13.70708
2021-10-10_15-17-01.664,5361,32289,-4.89987,5.72021,-10.26631,62.87737,26.16312,-13.91349
2021-10-10_15-17-01.672,5369,32290,-4.70583,5.65132,-10.25443,63.69619,26.98599,-14.10994
2021-10-10_15-17-01.680,5377,32291,-4.55057,5.59023,-10.22575,64.34573,27.57807,-14.26445
2021-10-10_15-17-01.688,5385,32292,-4.41785,5.51714,-10.20623,64.95646,28.02521,-14.44866
2021-10-10_15-17-01.696,5393,32293,-4.29247,5.41548,-10.17316,65.48050,28.40368,-14.58968
2021-10-10_15-17-01.704,5401,32294,-4.18054,5.30160,-10.12923,65.90527,28.67751,-14.74950
2021-10-10_15-17-01.712,5409,32295,-4.07617,5.13993,-10.07501,66.27000,28.91263,-14.89003
2021-10-10_15-17-01.720,5417,32296,-3.97067,4.92061,-10.00442,66.54457,29.13391,-15.01721
2021-10-10_15-17-01.728,5425,32297,-3.87256,4.70093,-9.89699,66.66511,29.31493,-15.13709
2021-10-10_15-17-01.740,5437,32298,-3.78303,4.50059,-9.79390,66.78044,29.47343,-15.28587
2021-10-10_15-17-01.748,5445,32299,-3.70225,4.37395,-9.64494,66.71599,29.58315,-15.40100
2021-10-10_15-17-01.756,5453,32300,-3.62248,4.28750,-9.50340,66.65030,29.68775,-15.53790
2021-10-10_15-17-01.764,5461,32301,-3.54681,4.19385,-9.35601,66.53573,29.78317,-15.63880
2021-10-10_15-17-01.772,5469,32302,-3.47861,4.10198,-9.22860,66.44656,29.87454,-15.74521
2021-10-10_15-17-01.780,5477,32303,-3.42309,4.00711,-9.13163,66.41085,29.94876,-15.84430
2021-10-10_15-17-01.788,5485,32304,-3.37865,3.90845,-9.04371,66.35968,30.00321,-15.93719
2021-10-10_15-17-01.796,5493,32305,-3.33599,3.81580,-8.95766,66.28479,30.05646,-16.01525
2021-10-10_15-17-01.804,5501,32306,-3.30200,3.76618,-8.87169,66.17205,30.06139,-16.08622
2021-10-10_15-17-01.812,5509,32307,-3.27438,3.72042,-8.80346,66.07495,30.05809,-16.15510
2021-10-10_15-17-01.820,5517,32308,-3.25508,3.68010,-8.70850,65.85455,30.03042,-16.21492
2021-10-10_15-17-01.828,5525,32309,-3.24655,3.63277,-8.67330,65.78109,29.99688,-16.27227
2021-10-10_15-17-01.840,5537,32310,-3.24641,3.63196,-8.60679,65.57310,29.90843,-16.33178
2021-10-10_15-17-01.848,5545,32311,-3.25169,3.62566,-8.55881,65.38799,29.83754,-16.36356
2021-10-10_15-17-01.856,5553,32312,-3.27066,3.60306,-8.53793,65.23383,29.80894,-16.40351
2021-10-10_15-17-01.864,5561,32313,-3.30201,3.60912,-8.51138,65.02013,29.78752,-16.39870
2021-10-10_15-17-01.872,5569,32314,-3.34672,3.63337,-8.48191,64.72054,29.76306,-16.39330
2021-10-10_15-17-01.880,5577,32315,-3.42562,3.65390,-8.45086,64.22413,29.74356,-16.35216
2021-10-10_15-17-01.888,5585,32316,-3.60670,3.68603,-8.43388,63.32168,29.67159,-16.24885
2021-10-10_15-17-01.896,5593,32317,-3.89229,3.73721,-8.44089,62.14066,29.57158,-16.09688
2021-10-10_15-17-01.904,5601,32318,-4.22910,3.78877,-8.46047,60.76917,29.44366,-15.89423
2021-10-10_15-17-01.912,5609,32319,-4.61627,3.83809,-8.49225,59.26052,29.30382,-15.66851
2021-10-10_15-17-01.920,5617,32320,-5.01949,3.89561,-8.51496,57.65193,29.14804,-15.40892
2021-10-10_15-17-01.928,5625,32321,-5.44346,3.98288,-8.52206,55.95791,28.96999,-15.11009
2021-10-10_15-17-01.936,5633,32322,-5.89154,4.12297,-8.52370,54.19096,28.78124,-14.79882
2021-10-10_15-17-01.948,5645,32323,-6.35576,4.31593,-8.53365,52.39836,28.61760,-14.47518
2021-10-10_15-17-01.956,5653,32324,-6.83921,4.59347,-8.54994,50.58561,28.46728,-14.13630
2021-10-10_15-17-01.964,5661,32325,-7.33102,4.96387,-8.58683,48.77335,28.31261,-13.78967
2021-10-10_15-17-01.972,5669,32326,-7.83415,5.46253,-8.63126,46.91717,28.07784,-13.43566
2021-10-10_15-17-01.980,5677,32327,-8.37480,6.07638,-8.67783,44.99081,27.71228,-13.06204
2021-10-10_15-17-01.988,5685,32328,-8.96642,6.50231,-8.74858,42.95062,27.28859,-12.66960
2021-10-10_15-17-01.996,5693,32329,-9.60705,7.01474,-8.82240,40.81776,26.72244,-12.26159
2021-10-10_15-17-02.004,5701,32330,-10.29756,7.43577,-8.91290,38.59192,26.06602,-11.82274
2021-10-10_15-17-02.012,5709,32331,-10.99195,7.92311,-8.99916,36.37698,25.26674,-11.35879
2021-10-10_15-17-02.020,5717,32332,-11.71004,8.32123,-9.07610,34.09270,24.35159,-10.87950
2021-10-10_15-17-02.028,5725,32333,-12.44937,8.56752,-9.16685,31.77568,23.34388,-10.36741
2021-10-10_15-17-02.040,5737,32334,-13.17435,8.74004,-9.21882,29.46147,22.20799,-9.79828
2021-10-10_15-17-02.048,5745,32335,-13.91169,8.87596,-9.31322,27.20611,21.03442,-9.21975
2021-10-10_15-17-02.056,5753,32336,-14.66375,9.03801,-9.35106,24.96297,19.73843,-8.61273
2021-10-10_15-17-02.064,5761,32337,-15.40501,9.21314,-9.34646,22.79725,18.34625,-7.95386
2021-10-10_15-17-02.072,5769,32338,-16.13197,9.35392,-9.39211,20.70533,16.94059,-7.33971
2021-10-10_15-17-02.080,5777,32339,-16.87785,9.50502,-9.40732,18.62538,15.43506,-6.69748
2021-10-10_15-17-02.088,5785,32340,-17.58643,9.65867,-9.41016,16.67527,13.91157,-6.10056
2021-10-10_15-17-02.096,5793,32341,-18.29014,9.75921,-9.41285,14.76254,12.30395,-5.45401
2021-10-10_15-17-02.104,5801,32342,-18.99259,9.92800,-9.39982,12.99725,10.66159,-4.81980
2021-10-10_15-17-02.112,5809,32343,-19.67111,10.09471,-9.38052,11.37513,8.90541,-4.15008
2021-10-10_15-17-02.124,5821,32344,-20.32654,10.32002,-9.37595,10.06383,6.97325,-3.53262
2021-10-10_15-17-02.132,5829,32345,-20.96654,10.64490,-9.38600,8.96738,4.91543,-2.92804
2021-10-10_15-17-02.140,5837,32346,-21.56136,10.96926,-9.39363,8.03825,2.80093,-2.34575
2021-10-10_15-17-02.148,5845,32347,-22.15500,11.32969,-9.40042,7.22721,0.69784,-1.78787
2021-10-10_15-17-02.156,5853,32348,-22.73750,11.73532,-9.39870,6.53405,-1.44846,-1.13994
2021-10-10_15-17-02.164,5861,32349,-23.32225,12.16591,-9.39700,5.88346,-3.51345,-0.46027
2021-10-10_15-17-02.172,5869,32350,-23.85079,12.53683,-9.40576,5.33630,-5.47392,0.12353
2021-10-10_15-17-02.180,5877,32351,-24.38555,12.89028,-9.40659,4.86287,-7.44287,0.76151
2021-10-10_15-17-02.188,5885,32352,-24.90086,13.20106,-9.39455,4.46743,-9.34524,1.31631
2021-10-10_15-17-02.196,5893,32353,-25.40745,13.43892,-9.36640,4.15003,-11.29403,1.93908
2021-10-10_15-17-02.204,5901,32354,-25.88386,13.70146,-9.33547,3.96160,-13.14475,2.46544
2021-10-10_15-17-02.216,5913,32355,-26.36705,14.01382,-9.29243,3.84579,-14.95878,2.97717
2021-10-10_15-17-02.224,5921,32356,-26.81237,14.28438,-9.24909,3.70812,-16.71958,3.40140
2021-10-10_15-17-02.232,5929,32357,-27.28054,14.59222,-9.18076,3.70188,-18.51349,3.82378
2021-10-10_15-17-02.240,5937,32358,-27.71869,14.87082,-9.09984,3.76172,-20.25603,4.26279
2021-10-10_15-17-02.248,5945,32359,-28.12269,15.09171,-9.02793,3.86833,-21.93823,4.67761
2021-10-10_15-17-02.256,5953,32360,-28.52494,15.30287,-8.95123,4.03858,-23.59177,5.07082
2021-10-10_15-17-02.264,5961,32361,-28.92768,15.53296,-8.85963,4.26795,-25.20493,5.42378
2021-10-10_15-17-02.272,5969,32362,-29.32513,15.73856,-8.76543,4.47811,-26.79039,5.72225
2021-10-10_15-17-02.280,5977,32363,-29.72703,15.98043,-8.68436,4.69007,-28.28214,5.97253
2021-10-10_15-17-02.288,5985,32364,-30.08777,16.18583,-8.61589,4.97054,-29.76910,6.21985
2021-10-10_15-17-02.296,5993,32365,-30.46415,16.38594,-8.51848,5.30712,-31.25266,6.43296
2021-10-10_15-17-02.308,6005,32366,-30.82956,16.56180,-8.43133,5.58348,-32.65942,6.59009
2021-10-10_15-17-02.316,6013,32367,-31.19151,16.72080,-8.35115,5.90190,-34.05495,6.76139
2021-10-10_15-17-02.324,6021,32368,-31.53926,16.83045,-8.27052,6.24321,-35.39965,6.89449
2021-10-10_15-17-02.332,6029,32369,-31.87038,16.95017,-8.20157,6.64013,-36.61267,6.97563
2021-10-10_15-17-02.340,6037,32370,-32.19093,17.04244,-8.13775,7.04122,-37.72696,7.02102
2021-10-10_15-17-02.348,6045,32371,-32.49480,17.13430,-8.09475,7.51444,-38.79939,7.10793
2021-10-10_15-17-02.356,6053,32372,-32.78192,17.19688,-8.06523,7.93217,-39.81894,7.16242
2021-10-10_15-17-02.364,6061,32373,-33.08134,17.26190,-8.02022,8.30102,-40.80035,7.22658
2021-10-10_15-17-02.372,6069,32374,-33.34198,17.32123,-7.99693,8.61043,-41.68605,7.26113
2021-10-10_15-17-02.380,6077,32375,-33.58238,17.36206,-7.96542,8.95173,-42.52692,7.31668
2021-10-10_15-17-02.388,6085,32376,-33.81852,17.41761,-7.93135,9.23733,-43.28782,7.32490
2021-10-10_15-17-02.396,6093,32377,-34.05441,17.46199,-7.88958,9.51874,-44.02005,7.34422
2021-10-10_15-17-02.408,6105,32378,-34.24206,17.46288,-7.85230,9.79376,-44.73777,7.37822
2021-10-10_15-17-02.416,6113,32379,-34.40850,17.45957,-7.83340,10.00285,-45.41955,7.40527
2021-10-10_15-17-02.424,6121,32380,-34.54671,17.45584,-7.80789,10.21699,-46.04023,7.42657
2021-10-10_15-17-02.432,6129,32381,-34.66885,17.45852,-7.79336,10.39521,-46.58662,7.42306
2021-10-10_15-17-02.440,6137,32382,-34.78175,17.46308,-7.76742,10.59298,-47.07834,7.42606
2021-10-10_15-17-02.448,6145,32383,-34.88958,17.47648,-7.73853,10.81790,-47.52291,7.43892
2021-10-10_15-17-02.456,6153,32384,-34.97965,17.47634,-7.73248,10.98305,-47.90330,7.42346
2021-10-10_15-17-02.464,6161,32385,-35.06645,17.47304,-7.71627,11.15662,-48.25712,7.43841
2021-10-10_15-17-02.473,6169,32386,-35.13009,17.46405,-7.72153,11.29194,-48.55591,7.44665
2021-10-10_15-17-02.481,6177,32387,-35.18587,17.46210,-7.71860,11.41081,-48.80060,7.45303
2021-10-10_15-17-02.489,6185,32388,-35.22907,17.45857,-7.72796,11.49469,-49.00406,7.45212
2021-10-10_15-17-02.497,6193,32389,-35.26138,17.45626,-7.72528,11.57143,-49.15841,7.44599
2021-10-10_15-17-02.509,6205,32390,-35.28541,17.45102,-7.72546,11.63909,-49.28751,7.44783
2021-10-10_15-17-02.517,6213,32391,-35.30444,17.44664,-7.73046,11.69413,-49.39795,7.46188
2021-10-10_15-17-02.525,6221,32392,-35.31806,17.44246,-7.72670,11.74382,-49.47842,7.47303
2021-10-10_15-17-02.533,6229,32393,-35.31963,17.43616,-7.72694,11.78251,-49.52146,7.48629
2021-10-10_15-17-02.541,6237,32394,-35.31712,17.42978,-7.72816,11.81705,-49.54719,7.50032
2021-10-10_15-17-02.549,6245,32395,-35.30658,17.42371,-7.73373,11.82541,-49.53596,7.50317
2021-10-10_15-17-02.557,6253,32396,-35.28816,17.41954,-7.74259,11.82739,-49.49576,7.51370
2021-10-10_15-17-02.565,6261,32397,-35.26769,17.41608,-7.75411,11.80458,-49.43970,7.51556
2021-10-10_15-17-02.573,6269,32398,-35.23977,17.41658,-7.77055,11.76800,-49.35602,7.52815
2021-10-10_15-17-02.581,6277,32399,-35.19799,17.41327,-7.77373,11.74884,-49.24782,7.56005
2021-10-10_15-17-02.589,6285,32400,-35.12823,17.40738,-7.78272,11.70172,-49.09849,7.58164
2021-10-10_15-17-02.597,6293,32401,-34.98353,17.40112,-7.77640,11.64324,-48.91135,7.62225
2021-10-10_15-17-02.605,6301,32402,-34.73901,17.38465,-7.78089,11.53377,-48.63130,7.66611
2021-10-10_15-17-02.613,6309,32403,-34.44758,17.37552,-7.78654,11.28182,-48.13953,7.76088
2021-10-10_15-17-02.625,6321,32404,-34.11784,17.36817,-7.79595,10.88807,-47.20332,7.89115
2021-10-10_15-17-02.633,6329,32405,-33.74090,17.36069,-7.79885,10.56080,-45.92580,8.03387
2021-10-10_15-17-02.641,6337,32406,-33.37368,17.35742,-7.79898,10.13805,-44.40789,8.18643
2021-10-10_15-17-02.649,6345,32407,-32.96980,17.35414,-7.78947,9.81453,-42.78784,8.33200
2021-10-10_15-17-02.657,6353,32408,-32.49773,17.35932,-7.79024,9.51826,-40.96139,8.46323
2021-10-10_15-17-02.665,6361,32409,-32.02996,17.36294,-7.79028,9.20253,-39.17333,8.62033
2021-10-10_15-17-02.673,6369,32410,-31.55371,17.37566,-7.77995,8.98812,-37.36575,8.76802
2021-10-10_15-17-02.681,6377,32411,-31.06007,17.40071,-7.77150,8.83937,-35.49986,8.91190
2021-10-10_15-17-02.689,6385,32412,-30.50747,17.41423,-7.77368,8.63101,-33.62451,9.08978
2021-10-10_15-17-02.697,6393,32413,-29.94991,17.43898,-7.77253,8.51837,-31.71323,9.25495
2021-10-10_15-17-02.705,6401,32414,-29.36761,17.46009,-7.77400,8.43086,-29.76892,9.43606
2021-10-10_15-17-02.713,6409,32415,-28.75011,17.47733,-7.78197,8.41259,-27.78252,9.61558
2021-10-10_15-17-02.721,6417,32416,-28.15285,17.49026,-7.78471,8.42039,-25.80140,9.79634
2021-10-10_15-17-02.729,6425,32417,-27.53476,17.51122,-7.79886,8.53908,-23.74359,9.95465
2021-10-10_15-17-02.737,6433,32418,-26.93344,17.52825,-7.81095,8.69340,-21.70024,10.09896
2021-10-10_15-17-02.745,6441,32419,-26.32640,17.54093,-7.83308,8.87538,-19.66142,10.23960
2021-10-10_15-17-02.753,6449,32420,-25.72090,17.55016,-7.87305,9.10935,-17.62498,10.36933
2021-10-10_15-17-02.765,6461,32421,-25.11132,17.55546,-7.95503,9.43772,-15.59752,10.47628
2021-10-10_15-17-02.773,6469,32422,-24.51074,17.56764,-8.10262,9.88910,-13.58956,10.54135
2021-10-10_15-17-02.781,6477,32423,-23.90529,17.56088,-8.34242,10.35404,-11.64530,10.61195
2021-10-10_15-17-02.789,6485,32424,-23.30694,17.55247,-8.63200,10.95069,-9.78194,10.64268
2021-10-10_15-17-02.797,6493,32425,-22.70028,17.53349,-8.97972,11.57248,-7.85277,10.63611
2021-10-10_15-17-02.805,6501,32426,-22.12893,17.51719,-9.28270,12.28608,-6.03669,10.60555
2021-10-10_15-17-02.813,6509,32427,-21.57041,17.49988,-9.48590,13.08259,-4.28551,10.55208
2021-10-10_15-17-02.821,6517,32428,-21.01622,17.46582,-9.69948,13.93526,-2.60877,10.45649
2021-10-10_15-17-02.829,6525,32429,-20.48531,17.42812,-9.83377,14.88220,-1.02024,10.33112
2021-10-10_15-17-02.837,6533,32430,-19.97473,17.37367,-9.96464,15.85139,0.50250,10.18880
2021-10-10_15-17-02.845,6541,32431,-19.49063,17.31166,-10.04309,16.87439,1.97901,10.01107
2021-10-10_15-17-02.853,6549,32432,-18.98500,17.20870,-10.15023,17.93778,3.41357,9.83131
2021-10-10_15-17-02.861,6557,32433,-18.50430,17.04609,-10.22613,19.03203,4.80362,9.63090
2021-10-10_15-17-02.869,6565,32434,-18.03618,16.80088,-10.31841,20.12206,6.16954,9.42990
2021-10-10_15-17-02.881,6577,32435,-17.57427,16.45682,-10.41255,21.22751,7.47864,9.22554
2021-10-10_15-17-02.889,6585,32436,-17.13503,16.13812,-10.45462,22.38196,8.70393,9.00051
2021-10-10_15-17-02.897,6593,32437,-16.70629,15.90974,-10.48704,23.56263,9.86276,8.74686
2021-10-10_15-17-02.905,6601,32438,-16.28881,15.70016,-10.49612,24.75532,10.92882,8.49320
2021-10-10_15-17-02.913,6609,32439,-15.89049,15.57052,-10.50736,25.96733,11.95851,8.21148
2021-10-10_15-17-02.921,6617,32440,-15.48209,15.42117,-10.54531,27.19701,12.94261,7.93112
2021-10-10_15-17-02.929,6625,32441,-15.10941,15.33580,-10.55897,28.41281,13.86130,7.63581
2021-10-10_15-17-02.937,6633,32442,-14.76059,15.20614,-10.56888,29.55629,14.73641,7.34093
